AttendanceID,EmployeeID,AttendanceDate,Status,HoursWorked,OvertimeHours
103,5,2025-02-20,Present,7.3,0.0
104,5,2025-12-13,Present,7.5,
105,5,01-19-2025,Present,8.9,0.0
106,5,2025-09-25,Late,5.4,0.0
107,5,01-23-2025,Present,7.1,0.0
108,5,2025-02-14,Present,9.4,0.0
109,5,2025-02-22,Present,7.4,0.0
110,5,2025-06-09,Absent,0.0,0.0
111,6,2025-06-09,Present,7.0,0.0
112,6,2025-04-13,Late,5.2,0.0
113,6,2025-06-13,Present,7.6,0.0
114,6,2025-05-20,Absent,0.0,0.0
115,6,2025-05-21,Absent,0.0,0.0
116,6,2025-11-15,Present,8.1,3.7
117,6,2025-10-05,Present,9.2,
118,6,2025-03-14,Present,8.1,0.0
119,6,2025-10-21,Late,5.7,
120,6,2025-11-10,Present,7.6,0.0
121,6,2025-01-26,Absent,0.0,0.0
122,6,2025-08-30,Present,7.1,3.8
123,6,16-Jul-2025,Absent,0.0,0.0
124,6,2025-08-07,Present,7.5,0.0
125,6,10-31-2025,Present,7.5,0.0
126,6,17-Aug-2025,Present,8.2,0.0
127,6,12/04/2025,Present,8.2,
128,6,2025-10-01,ABSENT,0.0,0.0
129,6,2025-08-27,Present,7.0,1.0
130,6,24/12/2025,Present,7.9,0.0
131,6,2025-12-17,Present,8.7,0.0
132,6,2025-08-29,Late,5.2,0.0
133,7,2025-11-12,Present,8.1,0.0
134,7,2025-04-04,Present,8.4,
135,7,2025-06-16,Present,9.2,1.6
136,7,01-Sep-2025,Late,4.9,0.0
137,7,2025-03-29,Present,8.2,0.0
138,7,22-Oct-2025,Late,6.7,0.9
139,7,2025-02-24,PRESENT,8.1,0.0
140,7,2025-06-04,Present,7.0,0.0
141,7,31/07/2025,Present,7.1,0.0
142,7,2025-03-23,Present,8.2,0.0
143,7,2025-06-24,Present,7.7,0.0
144,7,2025-08-09,Present,9.1,0.0
145,7,2025-06-25,Present,8.5,0.0
146,7,06/12/2025,Present,,0.0
147,7,2025-12-31,Present,8.0,0.0
148,7,2025-10-31,Present,8.2,0.0
149,7,2025-02-19,Present,7.1,0.0
150,8,27/07/2025,Absent,0.0,0.0
151,8,25-Feb-2025,Present,9.2,0.0
152,8,2025-07-14,Late,7.5,0.0
153,8,2025-02-01,Absent,0.0,0.0
154,8,2025-03-13,Present,7.5,0.0
155,8,2025-11-22,Present,7.3,0.0
156,8,2025-12-05,Absent,0.0,0.0
157,8,2025-09-30,Late,4.9,0.0
158,8,2025-08-17,Absent,0.0,0.0
159,8,2025-12-15,Present,8.7,0.0
160,8,2025-12-14,Late,6.5,0.0
161,8,2025-08-11,Present,9.1,0.0
162,8,2025-02-15,Present,8.9,0.0
163,8,09-19-2025,Present,8.1,2.6
164,8,2025-05-31,Absent,0.0,0.0
165,8,2025-10-09,Present,8.7,
166,8,2025-10-14,Present,8.2,0.0
167,8,2025-05-25,Present,8.6,0.0
168,8,2025-12-26,Present,8.4,0.0
169,8,2025-12-31,present,8.6,0.0
170,8,2025-10-07,Absent,0.0,0.0
171,8,2025-03-30,Present,8.5,0.0
172,8,2025-07-16,Present,8.8,0.0
173,8,2025-08-02,Absent,0.0,0.0
174,8,10-Dec-2025,Absent,0.0,0.0
175,8,2025-01-06,ABSENT,0.0,0.0
176,9,2025-01-09,Present,8.6,0.0
177,9,2025-12-03,Present,8.3,0.0
178,9,13-Feb-2025,Leave,0.0,0.0
179,9,01/08/2025,Present,8.7,0.0
180,9,2025-12-23,Present,8.1,0.0
181,9,04-03-2025,Present,7.6,0.0
182,9,2025-08-19,PRESENT,7.0,0.0
183,9,2025-08-06,Present,8.4,0.0
184,9,2025-05-02,Present,8.5,0.0
185,9,2025-10-07,Present,9.4,1.8
186,9,20-Jan-2025,Present,8.0,0.0
187,10,2025-02-27,Present,7.5,0.0
188,10,10/02/2025,Present,7.2,0.0
189,10,2025-05-24,Present,8.9,1.4
190,10,2025-11-09,Late,6.3,0.0
191,10,06/12/2025,Present,8.7,2.1
192,10,2025-11-21,Present,9.2,0.0
193,10,2025-11-10,Late,5.8,0.0
194,10,01-06-2025, Present,7.7,0.0
195,10,2025-08-29,Present,9.2,0.0
196,10,2025-06-30,Present,9.2,0.0
197,10,2025-05-29,Present,7.4,0.0
198,10,2025-11-02,Present,7.1,0.0
199,10,2025-10-16,Present,7.2,0.0
200,10,2025-10-24,Present,7.7,3.9
201,10,2025-05-30,Present,8.4,0.0
202,10,27-May-2025,Present,7.9,3.6
203,10,2025-02-09,Present,8.1,0.0
204,10,2025-03-09,Present,7.8,0.0
205,10,12/05/2025,Absent,0.0,0.0
206,10,2025-02-27,Present,9.4,0.0
207,10,19/03/2025,Present,9.1,0.0
208,11,2025-03-31,Present,9.1,0.0
209,11,2025-09-06,Late,6.0,
210,11,2025-01-17,Present,9.0,1.1
211,11,2025-03-16,present,8.4,0.0
212,11,09-11-2025,Present,9.5,0.0
213,11,2025-07-16,Present,7.7,0.0
214,12,2025-11-23,Leave,0.0,0.0
215,12,2025-10-23,Present,9.0,0.0
216,12,2025-11-25,Present,8.2,
217,12,2025-01-27,Leave,0.0,0.0
218,12,24/07/2025,Present,,0.0
219,12,30/09/2025,PRESENT,8.9,0.0
220,12,2025-07-19,Present,7.4,2.7
221,12,2025-08-11,Absent,0.0,0.0
222,12,2025-08-18,Present,7.2,0.0
223,12,2025-09-29,Present,,1.5
224,12,2025-09-30,Present,7.6,0.0
225,12,2025-08-10,Present,7.3,0.0
226,12,2025-05-20,PRESENT,9.4,0.0
227,12,2025-02-20,PRESENT,8.8,0.0
228,12,2025-08-25,Present,8.9,0.0
229,12,2025-12-11,Present,8.2,0.0
230,12,2025-06-22,Present,8.2,0.0
231,12,2025-06-10,Present,7.3,0.0
232,12,2025-02-04,Absent,0.0,0.0
233,12,2025-02-20,Present,8.4,0.0
234,12,2025-06-29,Present,7.6,0.0
235,12,2025-04-09,Absent,0.0,
236,12,2025-11-14,Late,7.4,0.0
237,12,03-Dec-2025,Present,9.0,0.0
238,12,2025-11-03,Present,8.0,0.0
239,12,03/03/2025,Late,5.0,0.0
240,12,07-12-2025,present,9.0,0.0
241,12,2025-10-17,Present,7.3,0.0
242,12,2025-02-26,Present,7.5,
243,12,2025-08-28,Present,,2.4
244,13,2025-08-21,Present,9.0,0.0
245,13,2025-08-07,Present,7.8,0.0
246,13,2025-06-15,Absent,0.0,0.0
247,13,2025-02-07,Late,4.8,2.1
248,13,2025-07-18,Late,6.7,1.3
249,13,2025-05-16,Absent,0.0,0.0
250,13,2025-02-05,Present,7.5,0.0
251,13,09-Nov-2025,Present,9.4,0.0
252,13,2025-02-25,Absent,0.0,0.0
253,13,2025-08-09,Absent,,0.0
254,13,2025-11-26,Absent,0.0,0.0
255,13,15-Aug-2025,Present,9.4,4.0
256,13,2025-02-07,Absent,0.0,0.0
257,13,2025-05-09,Present,9.0,1.2
258,13,2025-09-12, Absent,0.0,0.0
259,13,2025-11-24,Absent,0.0,0.0
260,14,2025-01-20,Present,7.5,0.0
261,14,2025-12-25,Present,7.9,0.0
262,14,2025-01-02,Present,7.8,0.0
263,14,2025-09-09,Present,9.4,
264,14,2025-02-05,Present,9.0,3.0
265,14,2025-12-19,Present,7.5,0.0
266,14,2025-10-18,Present,9.3,0.0
267,14,2025-06-20,Present,9.1,0.0
268,14,11-20-2025,present,7.4,0.0
269,14,2025-07-07,Present,9.2,0.0
270,14,2025-02-11,Present,7.7,0.0
271,14,2025-05-29,Present,7.2,0.0
272,14,2025-01-21,present,8.6,0.0
273,14,2025-06-03,Present,8.6,0.0
274,14,2025-11-19,Present,7.2,0.0
275,14,2025-11-20,Present,7.8,0.0
276,14,2025-01-19,Absent,0.0,0.0
277,14,31-Oct-2025,Late,,0.0
278,14,2025-10-04,Present,8.7,0.0
279,15,2025-08-19,Present,8.8,1.2
280,15,2025-06-23,Absent,0.0,0.0
281,15,2025-01-22,Present,7.2,0.0
282,15,01-Dec-2025,Present,7.7,0.0
283,15,2025-12-14,Present,7.6,0.0
284,15,10-24-2025,Late,5.2,1.2
285,15,2025-03-14,Present,8.4,1.6
286,15,2025-11-13,Absent,0.0,0.0
287,15,2025-12-26,Present,9.1,1.1
288,15,2025-11-20,Absent,0.0,0.0
289,15,2025-06-07,Present,8.2,0.5
290,15,2025-11-09,Late,5.9,0.0
291,15,2025-02-24,Absent,0.0,0.0
292,15,01-Nov-2025,Present,7.1,0.0
293,15,14-Apr-2025,Present,9.4,0.0
294,15,2025-12-14,Present,9.0,2.2
295,15,2025-12-17,Present,7.2,2.6
296,15,2025-04-20,PRESENT,8.9,0.0
297,15,2025-06-21,Absent,0.0,0.0
298,15,2025-05-21,Absent,0.0,0.0
299,15,08-01-2025,ABSENT,0.0,0.0
300,15,2025-07-09,Present,7.5,0.0
301,15,2025-10-25,Absent,0.0,0.0
302,15,21-Feb-2025,Present,8.4,0.0
303,15,2025-07-12,Present,9.0,3.2
304,15,2025-09-07,Absent,0.0,0.0
305,15,2025-01-04,Late,6.9,3.6
306,15,2025-11-30,Present,9.3,0.0
307,15,12-22-2025,Present,8.0,0.0
308,15,2025-12-21,Absent,0.0,0.0
309,15,2025-03-15,PRESENT,8.4,0.0
310,15,2025-07-30,Late,6.9,0.0
311,16,2025-12-21,Absent,0.0,0.0
312,16,2025-04-03,Present,8.7,0.0
313,16,02-15-2025,present,9.5,0.0
314,16,2025-06-28,Present,7.0,
315,16,2025-04-09,Absent,0.0,0.0
316,16,2025-09-29,Present,7.9,0.0
317,16,2025-10-04,Present,7.7,
318,16,2025-11-17,Present,7.7,0.0
319,16,2025-04-10,ABSENT,0.0,0.0
320,16,18-Mar-2025,Present,7.6,0.0
321,16,2025-08-31,Present,8.8,0.0
322,16,01-23-2025,Absent,0.0,0.0
323,16,2025-07-06,present,7.2,0.0
324,16,2025-06-21,PRESENT,8.9,0.0
325,17,21-Aug-2025,Late,6.6,0.0
326,17,2025-10-03,Present,7.6,0.0
327,17,2025-09-06,Present,7.6,2.7
328,17,2025-05-01,Present,8.9,0.0
329,17,2025-06-16,Present,9.2,0.0
330,17,16/06/2025,Present,9.1,3.9
331,17,2025-04-27,Late,6.2,0.0
332,17,2025-04-13,Present,9.3,
333,17,2025-08-30,Present,9.0,3.6
334,17,2025-08-12,Present,7.0,0.0
335,17,2025-08-21,Present,9.4,0.0
336,17,2025-08-23,Present,8.2,0.0
337,17,2025-05-19,Present,9.0,0.9
338,18,2025-12-21,Late,5.7,0.0
339,18,26/02/2025,Present,7.7,0.0
340,18,2025-03-29,Present,7.7,0.0
341,18,2025-06-01,Present,7.3,0.0
342,18,2025-11-23,Present,9.0,0.0
343,18,2025-10-23,Present,7.0,0.0
344,18,2025-02-14,Absent,0.0,0.0
345,18,2025-09-25,Absent,0.0,0.0
346,18,2025-04-21,Present,7.8,0.0
347,18,05-23-2025,Absent,0.0,0.0
348,18,2025-08-08,Present,7.4,0.0
349,18,2025-06-17,Absent,0.0,0.0
350,18,2025-04-24,Present,8.5,0.0
351,18,18/03/2025,Present,7.6,0.0
352,18,2025-08-02,Present,7.6,2.2
353,18,2025-08-29,Present,8.6,0.0
354,18,2025-08-06,Late,4.9,0.0
355,18,2025-12-23,Present,7.4,0.0
356,18,2025-05-04,ABSENT,0.0,0.0
357,18,2025-01-07,Present,7.6,0.0
358,18,2025-04-22,Absent,0.0,0.0
359,18,2025-06-01,Absent,0.0,
360,18,2025-02-16,Absent,0.0,0.0
361,18,2025-12-09,Absent,0.0,0.0
362,19,2025-12-27,Present,9.4,0.0
363,19,2025-10-26,Absent,0.0,0.0
364,19,2025-08-21,Present,8.0,2.6
365,19,2025-12-27,Present,7.6,0.0
366,19,2025-07-09,Present,8.2,0.0
367,19,2025-01-01,Present,7.2,0.6
368,19,2025-12-20,Present,8.2,
369,19,2025-08-07,Present,7.3,0.0
370,19,2025-11-10,Present,8.7,0.0
371,19,2025-12-17,Absent,0.0,
372,19,21/06/2025,Present,9.5,1.9
373,19,2025-12-12,Present,8.6,3.9
374,19,2025-07-16,Present,9.1,0.0
375,19,2025-07-07,Present,8.2,0.0
376,19,2025-12-27,ABSENT,0.0,0.0
377,19,2025-12-30,Present,8.8,0.9
378,19,06-21-2025,Present,8.3,1.5
379,19,2025-09-02,Present,7.4,0.0
380,19,2025-12-26,Late,5.8,0.0
381,19,2025-04-26,Present,7.3,0.0
382,19,15/09/2025,Present,8.7,0.0
383,20,2025-02-02,Present,8.1,0.0
384,20,2025-09-14,Present,8.3,1.0
385,20,30-Dec-2025,PRESENT,7.3,0.0
386,20,2025-05-30,Present,8.5,0.0
387,20,2025-12-11,Present,9.5,0.0
388,20,2025-02-03,Absent,0.0,0.0
389,20,2025-08-23,Absent,0.0,0.0
390,20,2025-07-20,present,7.2,0.0
391,20,2025-02-09,Absent,0.0,0.0
392,20,22-May-2025,Absent,0.0,0.0
393,20,2025-03-17,Present,7.7,
394,20,24/09/2025,Present,9.2,0.8
395,20,2025-08-02,PRESENT,9.2,0.0
396,20,2025-03-09,Present,,0.0
397,20,2025-11-27,Absent,0.0,0.0
398,20,2025-04-07,Absent,0.0,0.0
399,20,2025-04-29,Present,8.0,0.0
400,20,21/06/2025,Present,7.8,0.0
401,20,27/11/2025,Present,7.7,0.0
402,20,12-07-2025,Present,7.8,0.0
403,20,16/08/2025,Present,9.2,0.0
404,20,2025-06-06,Absent,0.0,0.0
405,20,2025-05-14,Late,6.7,
406,20,2025-05-28,Present,8.7,
407,20,30-Jun-2025,Late,5.3,0.0
408,21,11-13-2025,Present,8.5,0.0
409,21,2025-05-27,Present,8.2,
410,21,2025-12-29,Present,9.0,0.0
411,21,2025-03-20,Present,7.8,2.8
412,21,2025-06-12,Present,9.2,0.0
413,21,2025-07-09,Present,8.0,0.0
414,21,2025-01-18,Present,7.2,0.0
415,21,2025-03-17,Present,8.3,0.0
416,21,2025-03-25,Present,7.9,2.9
417,21,2025-01-13,Present,9.4,0.0
418,21,2025-03-16,Present,8.2,0.0
419,21,03-21-2025,Absent,0.0,0.0
420,21,2025-10-07,Present,8.2,0.0
421,21,2025-12-28,Present,8.6,0.0
422,21,2025-10-21,Present,7.3,
423,22,08-15-2025,Present,7.6,3.7
424,22,2025-09-03,Present,8.7,0.5
425,22,2025-10-10,Leave,,0.0
426,22,2025-01-13,Present,7.5,0.0
427,22,2025-08-17,Present,8.7,0.0
428,22,2025-11-08,Present,8.9,0.0
429,22,2025-04-24,Present,9.1,0.0
430,22,2025-04-11,Absent,0.0,0.0
431,22,2025-10-03,Present,7.7,0.0
432,22,2025-02-14,Present,9.3,0.0
433,22,2025-09-09,Present,8.4,0.0
434,22,2025-01-29,Present,8.7,0.0
435,23,2025-03-17,Present,8.5,0.0
436,23,2025-07-17,Present,7.3,0.0
437,23,29-Jun-2025,Present,9.4,0.0
438,23,2025-10-15,Absent,0.0,0.0
439,23,2025-08-16, Present,7.3,0.0
440,23,2025-08-15,Present,7.6,0.0
441,23,2025-08-06,Present,9.0,0.0
442,23,28-Oct-2025,Present,8.5,3.4
443,23,05-Jun-2025,Present,8.3,0.0
444,23,2025-06-21,Absent,0.0,0.0
445,23,2025-10-30,Present,7.9,3.7
446,23,07-29-2025,Present,7.1,0.0
447,23,31/03/2025,Present,9.1,0.0
448,23,03-12-2025,Late,5.2,0.0
449,23,2025-05-29,Present,9.1,1.0
450,23,2025-06-04,present,8.5,
451,23,2025-10-14,Present,9.2,0.0
452,23,2025-01-02,Late,5.9,0.0
453,23,2025-11-24,Present,8.9,0.0
454,23,2025-12-01,Present,9.0,0.0
455,23,04-02-2025,Present,8.8,0.0
456,24,2025-05-06,Absent,0.0,0.0
457,24,2025-05-22,Present,9.3,
458,24,2025-11-03,Present,8.1,0.0
459,24,2025-10-17,Present,7.4,0.0
460,24,2025-12-18,Present,7.1,0.0
461,24,2025-03-03,Present,7.6,0.0
462,24,2025-01-09,PRESENT,7.4,0.0
463,24,01-30-2025,Late,6.2,0.0
464,24,21/12/2025,Late,5.1,0.0
465,24,2025-05-20,Present,7.1,0.0
466,24,2025-07-02,Absent,0.0,0.0
467,24,2025-05-30,present,7.1,0.0
468,24,2025-09-21,Leave,0.0,0.0
469,24,2025-11-18,Leave,0.0,0.0
470,24,18/02/2025,Present,9.1,0.0
471,24,2025-06-15,Present,8.5,0.0
472,25,2025-12-17,Present,7.9,0.0
473,25,2025-12-24,Present,9.2,0.7
474,25,2025-10-24,Present,9.5,2.7
475,25,2025-03-12,Present,7.5,0.0
476,25,2025-09-06,Present,8.7,0.0
477,25,2025-03-25,Late,6.8,0.0
478,25,2025-04-24,Present,8.1,
479,25,2025-10-14,Present,9.2,0.0
480,25,2025-09-27,Present,7.4,0.0
481,25,2025-12-26,Present,7.7,0.8
482,25,24/08/2025,Present,7.5,1.3
483,25,03-09-2025,Present,9.3,0.0
484,25,2025-06-09,Present,7.2,2.0
485,25,2025-08-15,Present,8.3,0.0
486,25,2025-06-25,Leave,0.0,0.0
487,25,2025-06-05,Absent,0.0,0.0
488,25,2025-03-02,Present,9.2,0.0
489,25,2025-03-14,Present,9.5,0.0
490,26,2025-04-18,Absent,0.0,0.0
491,26,2025-02-10,Present,8.9,0.0
492,26,27/02/2025,Absent,0.0,0.0
493,26,2025-09-05,Present,9.4,3.3
494,26,2025-02-25,Absent,0.0,
495,26,2025-12-04,Present,9.4,
496,26,2025-03-02,Present,7.2,1.9
497,26,2025-06-04,Present,8.6,0.0
498,26,03-05-2025,Present,7.9,0.0
499,26,2025-04-13,LATE,5.3,0.0
500,26,2025-02-16,Late,6.2,0.0
501,26,2025-05-23,Present,9.3,0.0
502,26,2025-03-24,Present,7.1,0.0
503,26,2025-11-10,Present,8.9,0.0
504,26,2025-02-20,Present,8.8,
505,26,2025-09-28,Leave,0.0,0.0
506,26,2025-04-09,Present,9.4,0.0
507,26,2025-10-03, Absent,0.0,0.0
508,26,2025-02-20,Present,9.3,0.0
509,26,2025-12-29,Present,8.9,0.0
510,26,2025-04-05,Present,8.3,0.0
511,26,2025-04-03,Present,7.5,0.0
512,26,2025-08-06,Late,6.1,
513,26,2025-02-27,Present,8.9,0.0
514,26,2025-08-27,Absent,0.0,0.0
515,26,2025-03-11,Present,9.2,0.0
516,26,2025-05-28,Present,9.0,1.2
517,26,17-Jun-2025,Present,8.5,0.0
518,26,2025-08-22,Present,7.8,0.0
519,26,16-Aug-2025,Leave,0.0,0.0
520,26,2025-07-28,Present,7.0,0.0
521,26,07/04/2025,Present,7.5,0.0
522,26,2025-09-01,Present,7.3,0.0
523,27,2025-01-07,Present,9.1,0.0
524,27,2025-02-23,Late,5.3,0.0
525,27,2025-12-13,Absent,0.0,0.0
526,27,2025-03-15,Late,5.4,0.0
527,27,2025-02-22,Present,9.4,0.0
528,27,28-Mar-2025,Absent,0.0,0.0
529,27,2025-04-12,ABSENT,0.0,0.0
530,27,2025-11-01,Present,7.9,0.0
531,27,2025-04-30,Present,7.0,0.0
532,27,2025-05-23,Present,7.7,0.0
533,27,2025-10-31,Absent,0.0,0.0
534,27,2025-11-26,Present,7.3,0.0
535,27,2025-12-08,Present,7.3,
536,27,2025-09-06,Present,7.2,2.6
537,27,2025-08-21,Absent,0.0,0.0
538,27,2025-05-09,Present,7.5,0.0
539,27,2025-03-10,Absent,0.0,0.0
540,27,2025-01-28,Present,7.9,0.0
541,27,2025-01-14,Present,9.2,0.0
542,27,2025-12-14,Absent,0.0,0.0
543,28,2025-06-05,Present,8.1,
544,28,2025-02-09,PRESENT,8.2,0.0
545,28,2025-09-10,Present,8.0,0.0
546,28,2025-12-05,Present,8.9,0.0
547,28,2025-10-05,Present,7.2,0.0
548,28,2025-10-07,Absent,0.0,0.0
549,28,17-Jan-2025,Present,7.2,0.0
550,28,2025-03-02,Present,8.6,0.0
551,28,2025-07-12,Present,8.2,3.3
552,28,2025-04-01,present,9.3,0.0
553,29,05/06/2025,Present,8.0,0.0
554,29,08-09-2025,Absent,0.0,0.0
555,29,2025-07-19,Present,8.5,2.3
556,29,12-12-2025,Present,9.5,0.0
557,29,2025-10-04,Present,9.1,0.0
558,29,22-Mar-2025,Present,9.3,0.0
559,29,2025-09-11,Present,7.6,0.0
560,29,2025-12-13, Absent,0.0,0.0
561,29,2025-05-26,Absent,0.0,0.0
562,29,2025-01-15,Present,8.9,1.4
563,29,2025-07-07,Absent,0.0,0.0
564,29,2025-10-26,ABSENT,0.0,0.0
565,29,2025-11-17,Absent,0.0,0.0
566,29,2025-02-19,Late,5.1,0.0
567,29,2025-07-30,Absent,0.0,0.0
568,29,2025-12-05,Absent,0.0,0.0
569,29,01-May-2025,Present,9.4,0.0
570,29,12-19-2025,Absent,0.0,0.0
571,29,2025-06-06,Absent,0.0,
572,29,2025-03-28,Absent,0.0,0.0
573,29,2025-06-16,Absent,0.0,0.0
574,29,2025-12-03,Present,7.0,0.0
575,29,2025-08-04,Absent,0.0,0.0
576,29,23-Dec-2025,Present,9.4,1.0
577,30,2025-06-12,Absent,0.0,0.0
578,30,2025-07-19,Absent,0.0,0.0
579,30,2025-02-20,Present,9.0,1.5
580,30,2025-12-12,ABSENT,0.0,0.0
581,30,2025-09-12,Leave,0.0,0.0
582,30,12-08-2025,Absent,0.0,0.0
583,30,2025-11-11,Absent,0.0,0.0
584,30,2025-08-12,Absent,0.0,0.0
585,30,2025-11-22,Present,7.9,0.0
586,30,2025-10-02,Absent,0.0,0.0
587,30,2025-05-16,Absent,0.0,0.0
588,30,2025-10-21,Absent,0.0,0.0
589,30,2025-04-26,Present,7.5,0.0
590,30,2025-10-24,Absent,0.0,0.0
591,30,06-22-2025,Absent,0.0,0.0
592,30,2025-10-18,Present,8.5,0.0
593,31,2025-04-18, Present,7.9,2.8
594,31,2025-06-04,Present,7.0,
595,31,2025-12-06,Present,7.2,0.0
596,31,2025-07-25,Leave,0.0,0.0
597,31,2025-09-21,Present,7.2,0.0
598,31,2025-04-03,Present,8.0,0.0
599,31,09-22-2025,Present,9.0,0.0
600,31,2025-04-20,present,9.2,0.0
601,31,2025-08-28,Present,7.6,0.0
602,31,11/11/2025,Present,8.4,0.0
603,31,2025-10-17,Present,8.9,1.5
604,31,13/04/2025,Present,8.0,2.3
605,31,2025-03-19,Present,7.3,
606,31,2025-08-11,Present,7.1,0.0
607,31,2025-02-02,Present,7.4,0.0
608,31,2025-05-17,Present,8.6,0.0
609,31,2025-05-12,Present,7.2,0.0
610,31,2025-05-03,ABSENT,0.0,0.0
611,31,2025-04-09,Absent,0.0,0.0
612,31,08-Jun-2025,Present,7.5,0.0
613,31,2025-08-12,Present,7.8,0.0
614,31,2025-04-14,Late,4.7,1.2
615,32,2025-05-13,Present,9.3,0.0
616,32,2025-10-09,Late,4.6,0.0
617,32,06-Sep-2025,Present,8.6,1.8
618,32,02-12-2025,Present,8.7,0.0
619,32,2025-02-02,Present,8.5,0.0
620,32,2025-07-06,Present,7.6,0.0
621,32,2025-07-23,Present,9.1,0.0
622,32,2025-03-13,Leave,0.0,0.0
623,32,2025-10-20,Present,8.2,0.0
624,32,2025-09-25,Present,9.1,
625,33,2025-09-26,Present,8.0,0.0
626,33,2025-05-02,Present,9.5,0.0
627,33,10/06/2025,Present,8.9,0.0
